project,target,configuration,hash,code,status,start,end
@toneflix/otp-input,build,,9386828697195383720,1,failure,1722762575299,1722762576892
@toneflix/otp-input,build,,1010834763363534561,1,failure,1722762642850,1722762644686
@toneflix/otp-input,build,,7415907266364635945,1,failure,1722762653838,1722762655509
@toneflix/otp-input,build,,10823158785351954308,1,failure,1722762715695,1722762717456
@toneflix/otp-input,build,,10823158785351954308,1,failure,1722762750303,1722762752061
@toneflix/otp-input,build,,10823158785351954308,1,failure,1722762774906,1722762776791
@toneflix/otp-input,build,,10823158785351954308,1,failure,1722762796686,1722762798378
@toneflix/otp-input,build,,4682210744625438680,0,success,1722762826331,1722762828726
@toneflix/otp-input,build,,625168268605736165,0,success,1722798476793,1722798479142
@toneflix/otp-input,build,,5733599962269465414,0,success,1722821612110,1722821614934
@toneflix/otp-input,build,,5733599962269465414,0,local-cache-kept-existing,1722821654499,1722821654527
@toneflix/otp-input,build,,5733599962269465414,0,local-cache-kept-existing,1722821674097,1722821674125
@toneflix/otp-input,build,,5733599962269465414,0,local-cache-kept-existing,1722821714327,1722821714357
